branch,param,pps,solan,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
base,2,70000,3,1,1,30072506.707355157,69994.283175,84.56144166666667
randforest,1,150000,2,20,8,0.0,89437.557425,14768.95235
quickscore,1,50000,3,40,32,19865314.96829055,46155.87674166667,879.6623333333333
quickscore,1,50000,3,70,32,19864866.928835742,46155.84645,923.7669
quickscore,1,80000,3,90,8,505.0394866166667,2.6812666666666667,7425.910408333333
quickscore,1,150000,1,100,16,17611109.4715634,120863.91361666667,651.9151
quickscore,1,60000,3,80,32,23324389.43530535,55386.547325,977.4682083333333
quickscore,1,120000,3,80,8,524.1001132083334,2.789816666666667,6820.410383333333
quickscore,1,120000,2,10,32,11570755.281243348,110696.00709166667,569.0718083333334
quickscore,1,130000,2,70,8,531.2250345083334,2.889816666666667,7824.078591666666
quickscore,1,50000,3,90,8,19856376.65848431,46156.04510833333,911.0241916666666
quickscore,1,70000,3,30,32,27760685.589724768,64616.88315833333,828.248675
randforest,1,140000,2,10,32,0.0,93162.59138333333,13376.094466666667
svm,2,90000,2,1,1,2534750.5870887735,89925.68685833333,714.9949916666667
quickscore,1,110000,2,60,16,7144964.658853957,101541.02689166667,672.4870666666667
randforest,1,10000,3,20,32,0.0,43104.16646666667,69326898.70514166
