branch,param,pps,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
randforest,1,130000,20,64,0.0,120011.1118,1947919.5958694448
quickscore,1,20000,50,16,8154703.394627014,18463.771097222223,1001.8932027777778
quickscore,1,70000,90,32,27761924.42207315,64617.247777777775,927.8271388888888
randforest,1,20000,10,64,0.0,58984.92904722222,41428.798291666666
randforest,1,30000,20,64,0.0,75686.21886666666,39159.436972222225
randforest,1,90000,20,32,0.0,112508.17088055555,16776.13888888889
quickscore,1,60000,90,8,7797704.360054023,18464.028658333333,5228.280202777778
randforest,1,110000,20,16,0.0,82761.81510277778,16740.017897222224
quickscore,1,130000,40,8,8365925.26179365,103631.62006111111,1386.0224916666666
randforest,1,140000,10,16,0.0,89797.79909444445,14061.874116666668
quickscore,1,30000,60,8,6200151.6527028475,14771.755905555556,3790.029713888889
randforest,1,60000,10,64,0.0,69440.60800555556,28767.842577777777
quickscore,1,130000,50,8,12259645.677369863,85000.06343611112,2628.225191666667
quickscore,1,70000,10,8,7602048.259338884,17617.626747222224,5458.704013888889
quickscore,1,140000,10,8,5730217.898078965,41166.60104444445,4546.527980555556
quickscore,1,90000,100,32,35343267.012770034,83077.99273888889,855.6241305555556
randforest,1,70000,10,32,0.0,80776.758175,21530.240994444444
randforest,1,50000,10,32,0.0,61601.215216666664,34893.304808333334
base,2,140000,1,1,23268204.603179574,137984.8864277778,67.44021388888889
quickscore,1,80000,60,8,512.9139556722222,2.6287083333333334,7466.090375
svm,2,70000,1,1,30077435.839582544,70002.01421751412,809.7540423728814
quickscore,1,120000,60,16,11475726.11452553,110669.58784035948,642.091685480859
quickscore,1,30000,40,8,7672063.264350661,18332.009205555554,2866.6308
svm,1,130000,1,1,12846598.167567227,108862.3185,4168.050380555555
quickscore,1,140000,70,32,16703771.125459207,120758.68672777778,656.5882166666667
quickscore,1,80000,80,8,6284871.538088362,14787.921302777779,6171.176672222222
quickscore,1,40000,40,16,15739236.64325931,36925.266477777775,880.8727166666666
quickscore,1,100000,100,16,3972805.2621963695,92309.62270277778,747.4142194444445
quickscore,1,80000,30,8,10416890.584473573,24617.639244444446,4897.827919444444
base,2,120000,1,1,15511954.976051947,119935.41497222222,69.40211388888889
quickscore,1,50000,30,16,19864745.39170727,46156.024511111114,854.7917083333333
quickscore,1,20000,100,8,497.8909578222222,2.417902777777778,8093.669480555555
quickscore,1,30000,20,16,11541168.86315254,27694.300933333332,848.246925
quickscore,1,60000,60,8,12506174.979665067,29571.57477777778,4037.8318083333334
quickscore,1,10000,50,8,1247055.0981200582,3079.647966666667,5316.960827777778
randforest,1,140000,20,64,0.0,125923.35554444445,2546578.273613889
randforest,1,10000,20,8,3035.266764761111,23222.764933333332,44259.096252777774
quickscore,1,80000,90,8,505.8029447388889,2.631466666666667,7542.107305555555
randforest,1,60000,10,16,0.0,63404.84108611111,31374.277022222224
quickscore,1,60000,30,32,23324037.05538614,55386.54606111111,866.1862083333333
quickscore,1,50000,100,8,6618953.919830609,15387.057572992531,5547.213283239963
quickscore,1,10000,30,8,2446070.037178886,5939.6454861111115,3005.5733194444447
svm,2,50000,1,1,21508225.728216063,50002.891002777775,878.4852555555556
quickscore,1,50000,50,32,19865225.370912544,46155.87563333334,893.3090972222222
quickscore,1,80000,80,32,31320936.705738414,73847.43062777778,847.5960333333334
quickscore,1,140000,40,16,16808612.739222907,121597.35422777777,594.7864333333333
svm,1,100000,1,1,3739283.007237023,88567.27568333334,4068.629761111111
quickscore,1,30000,80,8,2326192.2155480194,5541.965544444444,5796.131297222222
quickscore,1,50000,10,8,6619567.530237125,15387.259105555555,5679.200438888889
quickscore,1,90000,70,16,35346429.11318217,83078.24273055556,762.7577
randforest,1,30000,10,32,0.0,58051.585283333334,38885.78919722222
quickscore,1,80000,10,32,31320375.543413542,73847.74173888889,729.3443055555555
quickscore,1,70000,70,32,27762656.48304127,64617.40612777777,891.5209972222223
quickscore,1,70000,80,8,8717571.213845616,19940.620955555554,5575.3811305555555
quickscore,1,100000,70,16,3966623.222963366,92308.84944444444,717.0634361111112
quickscore,1,120000,30,16,11575594.47981408,110719.36247777777,608.4777111111111
quickscore,1,10000,10,16,3717944.1302749002,9233.557238888889,1285.8011555555556
quickscore,1,30000,50,32,11539162.46815451,27694.387497222222,958.3554805555556
quickscore,1,150000,50,32,17268246.940776285,120335.69716944445,625.629238888889
quickscore,1,120000,70,16,11563174.831898088,110621.63644444445,659.4849055555555
randforest,1,80000,20,64,0.0,102992.5291,16316.0562
quickscore,1,140000,100,32,16606140.846571159,120038.83108055555,700.7153138888889
quickscore,1,30000,40,16,11539298.507481175,27694.3524,917.0020583333334
quickscore,1,10000,20,16,3718439.5026687696,9233.171772222222,1308.2851972222222
quickscore,1,80000,20,8,6322982.876963566,14866.038999999999,6502.652016666667
randforest,1,70000,10,16,0.0,75739.0084638889,22079.556383333333
quickscore,1,80000,10,8,10411780.019092567,24617.55423888889,4913.9757666666665
randforest,1,120000,10,16,0.0,74070.9612638889,19012.974408333335
quickscore,1,110000,70,8,-3461601.9923755364,20305.546858333335,5727.867647222222
quickscore,1,30000,80,16,11542656.803232208,27694.166861111113,1025.8873444444444
quickscore,1,40000,100,32,15749723.052252663,36925.22469166667,1086.3108444444445
quickscore,1,120000,20,16,11575692.155144803,110718.29188611111,597.6533944444444
quickscore,1,150000,50,8,12172401.713983372,82841.68552777778,3122.118336111111
quickscore,1,140000,100,8,12851896.192948319,112954.96759444445,1147.716311111111
quickscore,1,60000,20,32,23321096.20758497,55386.39281666667,837.6999527777778
quickscore,1,150000,60,32,17496861.89856425,120804.99277777778,642.1968555555555
quickscore,1,30000,100,32,11542243.248083994,27694.440330555553,1160.6359861111112
randforest,1,80000,20,8,0.0,83497.06893055556,17542.39292777778
randforest,1,50000,10,8,0.0,56184.471691666666,34892.284905555556
quickscore,1,120000,40,32,11574588.360089915,110697.64704166667,619.3428277777778
quickscore,1,110000,30,16,7150324.384011136,101539.81003333333,643.0918416666666
quickscore,1,60000,90,32,23324003.235243537,55386.647525,1007.9596972222222
randforest,1,110000,10,32,0.0,74720.84568333333,17590.32325
quickscore,1,120000,90,8,3872113.0513683558,36907.80168611111,4971.4944305555555
quickscore,1,150000,40,8,6628363.704789523,97949.25403055556,1631.1546916666666
quickscore,1,50000,40,16,19864408.814793363,46155.95442777778,856.1502583333333
quickscore,1,140000,30,8,4438782.121908888,65615.58017777778,3262.2793805555557
quickscore,1,10000,40,32,3718257.43546665,9233.156927777778,1510.9394527777777
quickscore,1,140000,30,32,16757367.152970549,121482.93468055555,599.2171
randforest,1,140000,10,32,0.0,92982.32691111111,3923622.4310861113
quickscore,1,90000,70,8,-923740.3046407785,53505.93195277778,2998.8767444444447
quickscore,1,40000,40,32,15738025.138203727,36925.138425,888.107375
randforest,1,150000,10,16,0.0,80588.5977,15540.569786111111
quickscore,1,70000,30,8,16413873.846357908,37757.11350833333,3462.4873555555555
quickscore,1,130000,30,32,15139748.775240425,119083.74460277778,594.99645
randforest,1,100000,20,16,0.0,89382.41156944445,17640.744780555557
randforest,1,130000,10,16,0.0,79564.57414722223,16114.376841666666
randforest,1,110000,20,32,0.0,91202.78315277777,15644.75698888889
quickscore,1,70000,30,16,27761824.178794615,64617.46151666667,819.8987611111111
randforest,1,10000,10,8,4883.349665433333,17831.543566666667,28585068.48777222
quickscore,1,50000,60,16,19862419.257873967,46155.954280555554,888.1739305555556
randforest,1,60000,20,32,0.0,78910.64833888889,28418.152216666665
quickscore,1,40000,30,8,10464376.137888677,24446.726663888887,3002.91615
quickscore,1,70000,90,16,27761675.37114212,64617.39228888889,895.1843333333334
randforest,1,90000,20,64,0.0,119552.8689,16329.013238888889
quickscore,1,80000,100,32,31321362.553248033,73847.37411944444,915.7106888888889
quickscore,1,50000,70,16,19864405.512473647,46155.832625,907.0263083333333
quickscore,1,40000,70,8,5251332.40102812,12310.299050000001,5380.639777777777
quickscore,1,150000,60,8,10473788.684933327,106817.179225,1482.7965472222222
quickscore,1,10000,70,8,2434440.857234786,5934.995822222222,3787.336316666667
randforest,1,40000,10,32,0.0,54134.41321944445,41529.834563888886
quickscore,1,70000,10,16,27762764.310852822,64617.36230833334,757.4787916666667
quickscore,1,130000,20,16,15162930.912724895,119288.9672,566.4377444444444
randforest,1,70000,20,64,0.0,102763.46885555555,18987.30083888889
quickscore,1,40000,20,32,15743172.602601409,36924.959086111114,848.2149805555556
quickscore,1,50000,80,8,13182691.231195407,30771.602991666667,2991.3533222222222
randforest,1,150000,10,8,0.0,77040.409575,16179.83905
quickscore,1,120000,70,32,11544756.666176638,110458.92263333334,680.1771111111111
quickscore,1,90000,40,8,11793778.838344352,27694.386561111114,5285.341752777777
quickscore,1,110000,50,8,2405029.527775048,33848.28151388889,5249.762227777777
quickscore,1,90000,100,16,35347493.99993425,83077.837975,804.4055027777778
randforest,1,130000,20,8,0.0,95361.49139722223,14148.76473611111
quickscore,1,50000,100,16,19865127.17858907,46155.96255,948.7316305555555
quickscore,1,120000,20,8,2883644.105192086,34408.704491666664,4996.452605555555
quickscore,1,60000,20,8,4705317.759619031,11086.035997222223,6003.555266666666
